"agno","mes","dia","valor","sitio"
1989,7,1,71.2,"Pudahuel Santiago"
1989,8,1,75.4,"Pudahuel Santiago"
1989,9,1,12,"Pudahuel Santiago"
1989,10,1,1.6,"Pudahuel Santiago"
1989,11,1,0.2,"Pudahuel Santiago"
1989,12,1,0,"Pudahuel Santiago"
1990,1,1,0,"Pudahuel Santiago"
1990,2,1,0,"Pudahuel Santiago"
1990,3,1,6,"Pudahuel Santiago"
1990,4,1,0,"Pudahuel Santiago"
1990,5,1,2.6,"Pudahuel Santiago"
1990,6,1,1.4,"Pudahuel Santiago"
1990,7,1,43.6,"Pudahuel Santiago"
1990,8,1,52.9,"Pudahuel Santiago"
1990,9,1,8.7,"Pudahuel Santiago"
1990,10,1,18.2,"Pudahuel Santiago"
1990,11,1,0,"Pudahuel Santiago"
1990,12,1,0,"Pudahuel Santiago"
1991,1,1,0,"Pudahuel Santiago"
1991,2,1,0,"Pudahuel Santiago"
1991,3,1,0,"Pudahuel Santiago"
1991,4,1,0.9,"Pudahuel Santiago"
1991,5,1,38.7,"Pudahuel Santiago"
1991,6,1,99.9,"Pudahuel Santiago"
1991,7,1,58.8,"Pudahuel Santiago"
1991,8,1,5.2,"Pudahuel Santiago"
1991,9,1,28.4,"Pudahuel Santiago"
1991,10,1,8,"Pudahuel Santiago"
1991,11,1,0,"Pudahuel Santiago"
1991,12,1,13.8,"Pudahuel Santiago"
1992,1,1,0,"Pudahuel Santiago"
1992,2,1,0.6,"Pudahuel Santiago"
1992,3,1,12.8,"Pudahuel Santiago"
1992,4,1,26.6,"Pudahuel Santiago"
1992,5,1,90.2,"Pudahuel Santiago"
1992,6,1,157.2,"Pudahuel Santiago"
1992,7,1,12.8,"Pudahuel Santiago"
1992,8,1,46.6,"Pudahuel Santiago"
1992,9,1,12,"Pudahuel Santiago"
1992,10,1,0,"Pudahuel Santiago"
1992,11,1,7,"Pudahuel Santiago"
1992,12,1,0,"Pudahuel Santiago"
1993,1,1,0,"Pudahuel Santiago"
1993,2,1,0,"Pudahuel Santiago"
1993,3,1,0,"Pudahuel Santiago"
1993,4,1,77.7,"Pudahuel Santiago"
1993,5,1,59.5,"Pudahuel Santiago"
1993,6,1,23.8,"Pudahuel Santiago"
1993,7,1,37.5,"Pudahuel Santiago"
1993,8,1,28.6,"Pudahuel Santiago"
1993,9,1,3,"Pudahuel Santiago"
1993,10,1,2.4,"Pudahuel Santiago"
1993,11,1,1.8,"Pudahuel Santiago"
1993,12,1,0,"Pudahuel Santiago"
1994,1,1,0,"Pudahuel Santiago"
1994,2,1,0,"Pudahuel Santiago"
1994,3,1,0,"Pudahuel Santiago"
1994,4,1,13.2,"Pudahuel Santiago"
1994,5,1,51.3,"Pudahuel Santiago"
1994,6,1,27.6,"Pudahuel Santiago"
1994,7,1,53.5,"Pudahuel Santiago"
1994,8,1,10.6,"Pudahuel Santiago"
1994,9,1,7.2,"Pudahuel Santiago"
